Lambda (nm),Specific Intensity (W/m^3*Sr)
3.000000000000000000e+02,7.940206036005027344e+12
3.035175879396985010e+02,8.338974916163854492e+12
3.070351758793970021e+02,8.756094097683030273e+12
3.105527638190955031e+02,8.857882569318009766e+12
3.140703517587939473e+02,9.422244436685869141e+12
3.175879396984924483e+02,9.580443042713919922e+12
3.211055276381909493e+02,1.023580885062447656e+13
3.246231155778894504e+02,1.032125631095328320e+13
3.281407035175879514e+02,1.066744350008051172e+13
3.316582914572864524e+02,1.110414244106594727e+13
3.351758793969848966e+02,1.149203197428515820e+13
3.386934673366833977e+02,1.182367177430147852e+13
3.422110552763818987e+02,1.217763249007870508e+13
3.457286432160803997e+02,1.235830036963938867e+13
3.492462311557789008e+02,1.270723844617061719e+13
3.527638190954774018e+02,1.300676645158051953e+13
3.562814070351759028e+02,1.337953378213508789e+13
3.597989949748744039e+02,1.360728821483358594e+13
3.633165829145728480e+02,1.391370014436673242e+13
3.668341708542713491e+02,1.408546139446600977e+13
3.703517587939698501e+02,1.461663268642364453e+13
3.738693467336683511e+02,1.470263943136987109e+13
3.773869346733668522e+02,1.511426959857402734e+13
3.809045226130652964e+02,1.540598513037496680e+13
3.844221105527637974e+02,1.567337517171182031e+13
3.879396984924622984e+02,1.588943119431510547e+13
3.914572864321607994e+02,1.624112153400709570e+13
3.949748743718593005e+02,1.617680615456611914e+13
3.984924623115578015e+02,1.662651775177710742e+13
4.020100502512563025e+02,1.678063128576883203e+13
4.055276381909548036e+02,1.692733090350727930e+13
4.090452261306533046e+02,1.721358126236249219e+13
4.125628140703517488e+02,1.743944239427290430e+13
4.160804020100502498e+02,1.781347862444496875e+13
4.195979899497487509e+02,1.775931972702387500e+13
4.231155778894472519e+02,1.806255058038042188e+13
4.266331658291457529e+02,1.822129910306373828e+13
4.301507537688441971e+02,1.844587375144545703e+13
4.336683417085426981e+02,1.865125900795766406e+13
4.371859296482411992e+02,1.864349603818055859e+13
4.407035175879397002e+02,1.898728933851133984e+13
4.442211055276382012e+02,1.912736599342278906e+13
