Year,Location (Optional),Text,Blurb Writer,Sources (ONE URL PER COLUMN),,
1893,,"The journal Physical Review begins publication. The first paper, “​​A Study of the Transmission Spectra of Certain Substances in the Infra-Red,” details spectroscopy performed by E. F. Nichols. Spectroscopy remains an important scientific endeavor as researchers study the structure of new materials.",HMN,https://journals.aps.org/pra/edannounce/10.1103/PhysRevA.97.010001,https://web.mit.edu/spectroscopy/history/spec-history.html,
1900,,"Max Planck posits that light comes in discrete packets. This idea, based on Planck's studies of blackbody radiation, established the theoretical basis for the quantum nature of light. ",CW,https://commons.wikimedia.org/w/index.php?title=File%3AOn_the_Law_of_the_Energy_Distribution_in_the_Normal_Spectrum.pdf&page=11,,
1911,,Heike Kamerlingh Onnes discovers superconductivity in pure elements on accident after attempting to benchmark record low temperatures achievable with liquid He.,AZ?,,,
1921,,"Albert Einstein wins the Nobel Prize for his theoretical description of the photoelectric effect. Following Max Planck’s theory of electromagnetic “quanta,” Einstein demonstrates that the absorption of packets of light with energy proportional to their frequency could explain the observed electric currents in metals under illumination. This discovery marks one of the first practical triumphs of a quantum theory. ",CW?,https://einsteinpapers.press.princeton.edu/vol2-trans/100,https://www.nobelprize.org/prizes/physics/1921/summary/,
1922,"Frankfurt, Germany","Gerlach experimentally realizes a proposal by Stern. In the Stern-Gerlach experiment, silver atoms are deflected up or down in a magnetic field according to their spin state, but don’t obey classical propabilities or have a definite classical state. This was one of the first experimental observation of quantum spin. Spin is an essential concept in quantum mechanics. In the modern day, it inspires both fundamental research on spin dynamics; and engineering of spins for applications like computing, sensing, and more. ",HMN,https://quantumatlas.umd.edu/entry/spin/ ,https://www.feynmanlectures.caltech.edu/III_05.html,
1923,,"Robert Andrews Millikan wins the Nobel Prize in part for his experimental measurements of the photoelectric effect. Millikan’s work included accurate measurement of Planck’s constant, which relates the energy of a photon to its frequency, and greatly aided the confirmation of Einstein’s theory that the photoelectric effect was caused by the absorption of discrete packets of light. ",CW,https://www.nobelprize.org/prizes/physics/1923/millikan/facts/,,
1924,,"Louis de Broglie proposes that matter fundamentally behaves as a wave. In his PhD thesis “On the theory of Quanta”, French physicist Louis-Victor de Broglie makes the radical supposition that matter, like light, can be described by waves; this hypothesis laid the theoretical basis for the quantum wave theory of Schrodinger and others. ",CW,https://fondationlouisdebroglie.org/LDB-oeuvres/De_Broglie_Kracklauer.pdf,,
1925,,"Werner Heisenberg publishes his paper “On the quantum-theoretical reinterpretation of kinematical and mechanical relationships,” formally establishing quantum mechanics as a distinct discipline of physics. This paper, also known simply as the “Reinterpretation paper,” makes the breakthrough realization that the dynamics of systems like the electron in a hydrogen atom can be explained by finding the probability of transitioning between two discrete states as opposed to solving for the trajectory that connects them. This work won Heisenberg the Nobel Prize in 1932. ",CW,https://www.neo-classical-physics.info/uploads/3/4/3/6/34363841/heisenberg_-_qm_interp_of_kin_and_mech.pdf,https://www.nobelprize.org/prizes/physics/1932/summary/,
1925-1926,,"Erwin Schrödinger develops and publishes his famous equation, which formalized the theory of wave mechanics of matter that underpins much of quantum mechanics. This work, which states that plane waves describe the propagation of matter through space, won Schrödinger ½ of the Nobel Prize in 1933. ",CW,https://web.archive.org/web/20081217040121/http://home.tiscali.nl/physis/HistoricPaper/Schroedinger/Schroedinger1926c.pdf,,
1935,,"Einstein, Podolsky, and Rosen (EPR) publish their seminal paper on quantum entanglement—which prematurely concludes that quantum mechanics must be incomplete. EPR consider a simple thought experiment where two particles described by an entangled quantum state yield measurement outcomes that either cannot be simultaneously predicted before measurement or are indicative of an ability for nominally noninteracting particles to nevertheless change each other's states instantaneously. EPR conclude that this “paradox” implies that quantum mechanics is an incomplete physical theory, a claim later successfully refuted by physicist John Stewart Bell.",CW,https://cds.cern.ch/record/405662/files/PhysRev.47.777.pdf,,
1952,,"Fleix Bloch and Edward Mills Purcell win the Nobel Prize in Physics ""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith."" These nuclear magnetic resonance methods are the basis for modern day technologies like magnetic resonance imaging (MRI) and inspired methods for controlling quantum spins. ",CW,https://www.nobelprize.org/prizes/physics/1952/summary/,,
1956,"Cheshire, England","Hanbury Brown and Twiss publish “Correlation between photons in two coherent beams of light,” describing a new kind of interferometer they devised to measure the size of stars. While this experiment and its results can be described classically, this experiment is important in to the development of modern quantum optics because its interpretation inspired physicists to understand the quantization of electric fields.  ",HMN,https://arxiv.org/pdf/2005.08239,https://www.tandfonline.com/doi/abs/10.1080/14786440708520475 ,https://www.nature.com/articles/177027a0
1960,"Malibu, CA, USA","The first laser is invented by the team of Theodore Maiman at Hughes Research Laboratories (now HRL Laboratories) in Malibu, California. ",HMN,"https://www.hrl.com/about/laser#:~:text=The%20historic%20moment%20took%20place,laser%20concept%20could%20actually%20work.",,
1964,,"John Stewart Bell proves that no theory with local hidden variables can reproduce the results of quantum mechanics, meaning that quantum systems fundamentally cannot be described by predetermined outcomes or are otherwise able to affect each other faster than the speed of light. This seminal result, published in the paper “On the Einstein–Podolsky–Rosen paradox” directly refutes those authors’ previous claims that quantum mechanics must be an incomplete theory.",CW,https://cds.cern.ch/record/111654/files/vol1p195-200_001.pdf,,
1964,"Dearborn, Michigan, USA","The superconducting quantum interference device ‘SQUID’ which is used to measure very small magnetic fields, is invented by Robert Jaklevic, John J. Lambe, James Mercereau, and Arnold Silver at Ford Scientific Laboratories (yes, like the car company). ",HMN,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.12.159 ,https://spinoff.nasa.gov/Spinoff2005/ct_5.html ,
1964-1965,,Density Functional Theory (DFT). DFT was formally established with the publication of papers by Pierre Hohenberg and Walter Kohn (1964) and Walter Kohn and L.J. Sham (1965). The theory was groundbreaking for simulating molecules and materials. ,AZ,https://pubs.aip.org/aip/jcp/article/140/18/18A301/149389/Perspective-Fifty-years-of-density-functional,,
1967,,"“The Laser: A Light Fantastic” episode on laser technology aired on the documentary series The 21st Century, starring reporter Walter Cronkite. It is interesting to see the early uses, proposals, and anxieties surrounding lasers and which ones have stood the test of time. Many types of lasers rely on quantum mechanics to work. They are also an essential tool for quantum research, probing the structure of materials, laser cooling, controlling the internal states of atoms and ions, engineering interactions between atoms, and more. ",HMN,https://archive.org/details/gov.archives.arc.53891 ,https://www.acmi.net.au/works/69506--the-laser-a-light-fantastic/,
1967,,The ‘cesium standard’ becomes the official standard for the second.,HMN,https://www.nist.gov/si-redefinition/second-past ,https://www.bipm.org/en/history-si/second,
1972,,"Elliott H. Lieb and Derek W. Robinson derive the theoretical upper bound on how fast information can propagate in a quantum system, now know as the ‘Lieb-Robinson bound. ",HMN,https://link.springer.com/article/10.1007/BF01645779,,
1980,,"The Quantum Hall Effect (QHE) was discovered by Klaus von Klitzing, who later won the Nobel Prize in Physics in 1985 for this discovery.",AZ,"https://www.nobelprize.org/prizes/physics/1985/klitzing/facts/#:~:text=Work,number%20multiples%20of%20a%20constant.",,
1981,,"Richard Feynman proposes the idea of a ‘quantum simulator.’ Today, many researchers around the world use quantum devices to simulate other interesting physics (for example: magnetism, superconductivity, and particle physics), and there is an ongoing effort by theorist to come up with proposals for quantum simulations. ",HMN,https://s2.smu.edu/~mitch/class/5395/papers/feynman-quantum-1981.pdf,,
1986,,High Tc superconductivity is discovered in the cuprates.,AZ,https://en.wikipedia.org/wiki/Cuprate_superconductor#cite_note-Bedn1986-1,,
